date,country_code,country,confirmed,suspected,cured,dead
20200217,KR,韩国,30,0,10,0
20200217,LK,斯里兰卡,1,0,1,0
20200217,MY,马来西亚,22,0,9,0
20200217,NP,尼泊尔,1,0,1,0
20200217,PH,菲律宾,3,0,1,1
20200217,RU,俄罗斯,2,0,2,0
20200217,SE,瑞典,1,0,0,0
20200217,SG,新加坡,77,0,19,0
20200217,TH,泰国,35,0,15,0
20200217,US,美国,15,0,3,0
20200217,VN,越南,16,0,7,0
20200218,AE,阿联酋,9,0,4,0
20200218,AU,澳大利亚,15,0,5,0
20200218,BE,比利时,1,0,1,0
20200218,CA,加拿大,8,0,1,0
20200218,CN,中国,74276,5248,14387,2006
20200218,DE,德国,16,0,7,0
20200218,EG,埃及,1,0,0,0
20200218,ES,西班牙,2,0,0,0
20200218,FI,芬兰,1,0,1,0
20200218,FR,法国,12,0,4,1
20200218,GB,英国,9,0,8,0
20200218,IN,印度,3,0,2,0
20200218,IT,意大利,3,0,0,0
20200218,JP,日本,616,0,1,1
20200218,KH,柬埔寨,1,0,1,0
20200218,KR,韩国,31,0,10,0
20200218,LK,斯里兰卡,1,0,1,0
20200218,MY,马来西亚,22,0,9,0
20200218,NP,尼泊尔,1,0,1,0
20200218,PH,菲律宾,3,0,1,1
20200218,RU,俄罗斯,2,0,2,0
20200218,SE,瑞典,1,0,0,0
20200218,SG,新加坡,81,0,29,0
20200218,TH,泰国,35,0,15,0
20200218,US,美国,15,0,3,0
20200218,VN,越南,16,0,9,0
20200219,AE,阿联酋,9,0,4,0
20200219,AU,澳大利亚,15,0,5,0
20200219,BE,比利时,1,0,1,0
20200219,CA,加拿大,8,0,1,0
20200219,CN,中国,75101,4922,16168,2121
20200219,DE,德国,16,0,7,0
20200219,EG,埃及,1,0,0,0
20200219,ES,西班牙,2,0,0,0
20200219,FI,芬兰,1,0,1,0
20200219,FR,法国,12,0,4,1
20200219,GB,英国,9,0,8,0
20200219,IN,印度,3,0,2,0
20200219,IT,意大利,3,0,0,0
20200219,JP,日本,696,0,1,1
20200219,KH,柬埔寨,1,0,1,0
20200219,KR,韩国,51,0,10,0
20200219,LK,斯里兰卡,1,0,1,0
20200219,MY,马来西亚,22,0,9,0
20200219,NP,尼泊尔,1,0,1,0
20200219,PH,菲律宾,3,0,1,1
20200219,RU,俄罗斯,2,0,2,0
20200219,SE,瑞典,1,0,0,0
20200219,SG,新加坡,84,0,34,0
20200219,TH,泰国,35,0,15,0
20200219,US,美国,15,0,3,0
20200219,VN,越南,16,0,9,0
20200220,AE,阿联酋,9,0,4,0
20200220,AU,澳大利亚,15,0,5,0
20200220,BE,比利时,1,0,1,0
20200220,CA,加拿大,8,0,1,0
20200220,CN,中国,75993,5206,18277,2239
20200220,DE,德国,16,0,7,0
20200220,EG,埃及,1,0,0,0
20200220,ES,西班牙,2,0,0,0
20200220,FI,芬兰,1,0,1,0
20200220,FR,法国,12,0,4,1
20200220,GB,英国,9,0,8,0
20200220,IN,印度,3,0,3,0
20200220,IR,伊朗,5,0,0,2
20200220,IT,意大利,3,0,0,0
20200220,JP,日本,725,0,1,3
20200220,KH,柬埔寨,1,0,1,0
20200220,KR,韩国,104,0,12,1
20200220,LK,斯里兰卡,1,0,1,0
20200220,MY,马来西亚,22,0,15,0
20200220,NP,尼泊尔,1,0,1,0
20200220,PH,菲律宾,3,0,1,1
20200220,RU,俄罗斯,2,0,2,0
20200220,SE,瑞典,1,0,0,0
20200220,SG,新加坡,85,0,37,0
20200220,TH,泰国,35,0,17,0
20200220,US,美国,15,0,3,0
20200220,VN,越南,16,0,9,0
20200221,AE,阿联酋,9,0,4,0
20200221,AU,澳大利亚,15,0,5,0
20200221,BE,比利时,1,0,1,0
20200221,CA,加拿大,8,0,1,0
20200221,CN,中国,76392,5365,20672,2348
20200221,DE,德国,16,0,7,0
20200221,ES,西班牙,2,0,0,0
20200221,FI,芬兰,1,0,1,0
20200221,FR,法国,12,0,4,1
20200221,GB,英国,9,0,8,0
20200221,IN,印度,3,0,3,0
20200221,IR,伊朗,18,0,0,2
20200221,IT,意大利,3,0,0,0
20200221,JP,日本,740,0,15,3
20200221,KH,柬埔寨,1,0,1,0
20200221,KR,韩国,204,0,12,2
20200221,LK,斯里兰卡,1,0,1,0
20200221,MY,马来西亚,22,0,15,0
20200221,NP,尼泊尔,1,0,1,0
